"","date_long","year","id_no","country","region","source","latitude","longitude","magnitude_body","magnitude_surface","depth","yield_lower","yield_upper","purpose","name","type"
"159",19570827,1957,57027,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PASCAL-B","SHAFT"
"160",19570830,1957,57028,"USA","NTS","DOE",37,-116,0,0,-0.25,4.7,4.7,"WR","FRANKLIN PRIME","BALLOON"
"161",19570831,1957,57029,"USA","NTS","DOE",37,-116,0,0,-0.25,44,44,"WR","SMOKY","TOWER"
"162",19570902,1957,57030,"USA","NTS","DOE",37,-116,0,0,-0.2,11,11,"WR","GALILEO","TOWER"
"163",19570906,1957,57031,"USA","NTS","DOE",37,-116,0,0,-0.2,0.2,0.2,"WR","WHEELER","BALLOON"
"164",19570906,1957,57032,"USA","NTS","DOE",37,-116,0,0,-0.001,0.3,0.3,"SE","COULOMB-B","SURFACE"
"165",19570907,1957,57034,"USSR","N2 RUSS","DOE",73,55,0,0,0,32,32,"FMS",NA,"SURFACE"
"166",19570908,1957,57033,"USA","NTS","DOE",37,-116,0,0,-0.25,1,1,"WR","LAPLACE","BALLOON"
"167",19570913,1957,57035,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,5.9,5.9,"WR",NA,"ATMOSPH"
"168",19570914,1957,57036,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,1,1,"WR","ANTLER:1","TOWER"
"169",19570914,1957,57037,"USA","NTS","DOE",37,-116,0,0,-0.2,11,11,"WR","FIZEAU","TOWER"
"170",19570916,1957,57038,"USA","NTS","DOE",37,-116,0,0,-0.5,12,12,"WR","NEWTON","BALLOON"
"171",19570919,1957,57039,"USA","NTS","DOE",37,-116,4.1,0,0.3,1.7,1.7,"WR","RAINIER","TUNNEL"
"172",19570923,1957,57040,"USA","NTS","DOE",37,-116,0,0,-0.2,19,19,"WR","WHITNEY","TOWER"
"173",19570924,1957,57041,"USSR","NZ RUSS","DOE",73,55,0,0,0,1600,1600,"WR",NA,"AIRDROP"
"174",19570925,1957,57042,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,6,6,"WR","ANTLER:2","TOWER"
"175",19570926,1957,57043,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,13,13,"WR",NA,"ATMOSPH"
"176",19570928,1957,57044,"USA","NTS","DOE",37,-116,0,0,-0.5,12,12,"WR","CHARLESTON","BALLOON"
"177",19571006,1957,57045,"USSR","NZ RUSS","DOE",73,55,0,0,0,2900,2900,"WR",NA,"ATMOSPH"
"178",19571007,1957,57046,"USA","NTS","DOE",37,-116,0,0,-0.2,8,8,"WR","MORGAN","BALLOON"
"179",19571009,1957,57047,"UK","MARALI AUSTR","DOE",-30,131,0,0,0,25,25,"WR","ANTLER:3","BALLOON"
"180",19571010,1957,57048,"USSR","NZ RUSS","DOE",73,55,0,0,0,10,10,"WE",NA,"UW"
"181",19571108,1957,57049,"UK","CHRISTMAS IS","DOE",2,-157,0,0,0,1800,1800,"WR","GRAPPLE X","AIRDROP"
"182",19571206,1957,57050,"USA","NTS","DOE",37,-116,0,0,0,0,0,"SE","PASCAL-C","SHAFT"
"183",19571209,1957,57051,"USA","NTS","DOE",37,-116,0,0,0,0.5,0.5,"SE","COULOMB-C","SURFACE"
"184",19571228,1957,57052,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,12,12,"WR",NA,"ATMOSPH"
"185",19580104,1958,58001,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,1.3,1.3,"WR",NA,"ATMOSPH"
"186",19580117,1958,58002,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.5,0.5,"WR",NA,"ATMOSPH"
"187",19580222,1958,58003,"USA","NTS","DOE",37,-116,0,0,0,0,0.001,"SE","VENUS","TUNNEL"
"188",19580223,1958,58004,"USSR","NZ RUSS","DOE",73,55,0,0,0,860,860,"WR",NA,"ATMOSPH"
"189",19580227,1958,58005,"USSR","NZ RUSS","DOE",73,55,0,0,0,250,250,"WR",NA,"ATMOSPH"
"190",19580227,1958,58006,"USSR","NZ RUSS","DOE",73,55,0,0,0,1500,1500,"WR",NA,"ATMOSPH"
"191",19580313,1958,58007,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,1.2,1.2,"WR",NA,"ATMOSPH"
"192",19580314,1958,58008,"USSR","NZ RUSS","DOE",73,55,0,0,0,40,40,"FMS",NA,"ATMOSPH"
"193",19580314,1958,58009,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,35,35,"WR",NA,"ATMOSPH"
"194",19580314,1958,58010,"USA","NTS","DOE",37,-116,0,0,0,0,0.001,"SE","URANUS","TUNNEL"
"195",19580315,1958,58011,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,14,14,"WR",NA,"ATMOSPH"
"196",19580318,1958,58012,"USSR","SEMI KAZAKH","MTM",50,78,0,0,0,0.16,0.16,"FMS",NA,"ATMOSPH"
"197",19580320,1958,58013,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,12,12,"WR",NA,"ATMOSPH"
"198",19580321,1958,58014,"USSR","NZ RUSS","DOE",73,55,0,0,0,650,650,"WR",NA,"ATMOSPH"
"199",19580322,1958,58015,"USSR","SEMI KAZAKH","DOE",50,78,0,0,0,18,18,"WR",NA,"ATMOSPH"
"200",19580428,1958,58016,"USA","PACIFIC","DOE",12.617,163.017,0,0,-28,1.7,1.7,"WE","YUCCA","BALLOON"
"201",19580428,1958,58017,"UK","CHRISTMAS IS","DOE",2,-157,0,0,0,3000,3000,"WR","GRAPPLE Y","AIRDROP"
"202",19580505,1958,58018,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,18,18,"WR","CACTUS","SURFACE"
"203",19580511,1958,58019,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,1360,1360,"WR","FIR","BARGE"
"204",19580511,1958,58020,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,81,81,"WR","BUTTERNUT","BARGE"
"205",19580512,1958,58021,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,1370,1370,"WR","KOA","SURFACE"
"206",19580516,1958,58022,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0.2,9,9,"WE","WAHOO","UW"
"207",19580520,1958,58023,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,5.9,5.9,"WR","HOLLY","BARGE"
"208",19580521,1958,58024,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,25.1,25.1,"WR","NUTMEG","BARGE"
"209",19580526,1958,58025,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,330,330,"WR","YELLOW WOOD","BARGE"
"210",19580526,1958,58026,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,57,57,"WR","MAGNOLIA","BARGE"
"211",19580530,1958,58027,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,11.6,11.6,"WR","TOBACCO","BARGE"
"212",19580531,1958,58028,"USA","BIKINI","DOE",11.35,165.2,0,0,-0.001,92,92,"WR","SYCAMORE","BARGE"
"213",19580602,1958,58029,"USA","ENEWETAK","DOE",11.3,162.15,0,0,-0.001,15,15,"WR","ROSE","BARGE"
"214",19580608,1958,58030,"USA","ENEWETAK","DOE",11.3,162.15,0,0,0.05,8,8,"WE","UMBRELLA","UW"
